example_id,text,label,diagnosis,procedure,medication,tooth_number,source_type
686,Patient requests whitening for yellowing enamel. in-office bleaching initiated; fluoride prescribed for sensitivity.,whitening_form,yellowing enamel,in-office bleaching,fluoride,30,synthetic_dental_form_example
687,Patient with oral ulcers attended for oral cancer screening. Specialist referral considered. acetaminophen prescribed.,consultation_form,oral ulcers,oral cancer screening,acetaminophen,15,synthetic_dental_form_example
688,Broken tooth emergency: dental trauma on tooth 24. temporary restoration completed; clindamycin prescribed.,emergency_form,dental trauma,temporary restoration,clindamycin,24,synthetic_dental_form_example
689,Full mouth oral hygiene instruction completed for mild periodontitis. Patient given chlorhexidine rinse as adjunct therapy.,cleaning_form,mild periodontitis,oral hygiene instruction,chlorhexidine rinse,5,synthetic_dental_form_example
690,Patient with severe bone loss attends for maintenance therapy. guided tissue regeneration completed; minocycline continued.,periodontal_form,severe bone loss,guided tissue regeneration,minocycline,27,synthetic_dental_form_example
691,Routine hygiene visit. gum inflammation noted. scaling and polishing completed; chlorhexidine rinse recommended daily.,cleaning_form,gum inflammation,scaling and polishing,chlorhexidine rinse,31,synthetic_dental_form_example
692,Patient completed in-office bleaching course for tetracycline staining. Final shade recorded; desensitizing gel advised.,whitening_form,tetracycline staining,in-office bleaching,desensitizing gel,16,synthetic_dental_form_example
693,Out-of-hours for knocked out tooth. Patient seen same day. emergency consultation completed; clindamycin given.,emergency_form,knocked out tooth,emergency consultation,clindamycin,25,synthetic_dental_form_example
694,Dentist completed bone grafting post extraction on tooth 19. Underlying cause: root fracture. clindamycin dispensed.,extraction_form,root fracture,bone grafting post extraction,clindamycin,19,synthetic_dental_form_example
695,Child patient with lost filling on tooth 25 following sports injury. abscess drainage completed; clindamycin dispensed.,emergency_form,lost filling,abscess drainage,clindamycin,25,synthetic_dental_form_example
696,Patient reports discomfort from bracket placement. malocclusion being managed; wire trimmed. acetaminophen suggested.,orthodontic_form,malocclusion,bracket placement,acetaminophen,24,synthetic_dental_form_example
697,Oral health assessment completed. tartar accumulation observed. Treatment: subgingival scaling. antiseptic gel instructed.,cleaning_form,tartar accumulation,subgingival scaling,antiseptic gel,3,synthetic_dental_form_example
698,Dental trauma: acute toothache on tooth 26. emergency root canal carried out; amoxicillin prescribed.,emergency_form,acute toothache,emergency root canal,amoxicillin,26,synthetic_dental_form_example
699,Emergency visit for gum pain. diagnostic assessment completed and ibuprofen given.,consultation_form,gum pain,diagnostic assessment,ibuprofen,27,synthetic_dental_form_example
700,Post root canal temporary crown placement for tooth 30. tooth discoloration noted. fluoride prescribed.,crown_bridge_form,tooth discoloration,temporary crown placement,fluoride,30,synthetic_dental_form_example
701,Patient presents with severe gum swelling. Emergency tooth splinting performed; naproxen prescribed.,emergency_form,severe gum swelling,tooth splinting,naproxen,7,synthetic_dental_form_example
702,Crown lengthening prior to full coverage crown on tooth 12. fractured tooth requiring crown required recontouring; lidocaine prescribed.,crown_bridge_form,fractured tooth requiring crown,full coverage crown,lidocaine,12,synthetic_dental_form_example
703,Patient phoned reporting avulsed tooth. Seen within the hour. emergency root canal performed; clindamycin dispensed.,emergency_form,avulsed tooth,emergency root canal,clindamycin,6,synthetic_dental_form_example
704,Dental hygiene visit revealed halitosis. Full mouth dental cleaning completed. fluoride prescribed.,cleaning_form,halitosis,dental cleaning,fluoride,4,synthetic_dental_form_example
705,Extraction consent obtained for tooth 32. Diagnosis: severe decay. Medication: chlorhexidine rinse.,extraction_form,severe decay,bone grafting post extraction,chlorhexidine rinse,32,synthetic_dental_form_example
706,Surgical post extraction care completed for tooth 12 with fractured tooth. Patient tolerated well; acetaminophen given.,extraction_form,fractured tooth,post extraction care,acetaminophen,12,synthetic_dental_form_example
707,Patient presents with gingivitis. dental cleaning completed and antiseptic gel prescribed.,cleaning_form,gingivitis,dental cleaning,antiseptic gel,30,synthetic_dental_form_example
708,Broken temporary crown on tooth 30. post root canal crown needed present. porcelain crown placement repeated; acetaminophen advised.,crown_bridge_form,post root canal crown needed,porcelain crown placement,acetaminophen,30,synthetic_dental_form_example
709,Clinical findings confirm severe decay on tooth 31. bone grafting post extraction carried out; acetaminophen given for pain control.,extraction_form,severe decay,bone grafting post extraction,acetaminophen,31,synthetic_dental_form_example
710,Annual dental examination: patient reports toothache. x ray review completed; lidocaine given.,consultation_form,toothache,x ray review,lidocaine,8,synthetic_dental_form_example
711,Tooth 18 extracted following confirmed impacted wisdom tooth. bone grafting post extraction uneventful; chlorhexidine rinse prescribed.,extraction_form,impacted wisdom tooth,bone grafting post extraction,chlorhexidine rinse,18,synthetic_dental_form_example
712,Surgical tooth extraction completed for tooth 15 with irreversible pulpitis. Patient tolerated well; metronidazole given.,extraction_form,irreversible pulpitis,tooth extraction,metronidazole,15,synthetic_dental_form_example
713,Specialist referral for canal shaping of tooth 22 with irreversible pulpitis. lidocaine provided in interim.,root_canal_form,irreversible pulpitis,canal shaping,lidocaine,22,synthetic_dental_form_example
714,Emergency appointment for avulsed tooth on tooth 25. pain management performed; lidocaine given.,emergency_form,avulsed tooth,pain management,lidocaine,25,synthetic_dental_form_example
715,Patient presents with moderate periodontitis. dental cleaning completed and chlorhexidine rinse prescribed.,cleaning_form,moderate periodontitis,dental cleaning,chlorhexidine rinse,11,synthetic_dental_form_example
716,New patient assessment. impacted canine identified. wire adjustment recommended; orthodontic wax provided.,orthodontic_form,impacted canine,wire adjustment,orthodontic wax,19,synthetic_dental_form_example
717,Six-month recall. moderate periodontitis detected. deep cleaning carried out; fluoride advised.,cleaning_form,moderate periodontitis,deep cleaning,fluoride,6,synthetic_dental_form_example
718,Hygiene therapist performed subgingival scaling for gum inflammation. antiseptic gel recommended for home care.,cleaning_form,gum inflammation,subgingival scaling,antiseptic gel,8,synthetic_dental_form_example
719,Six-week review post bone grafting. advanced gum disease improving; minocycline continued for four more weeks.,periodontal_form,advanced gum disease,bone grafting,minocycline,5,synthetic_dental_form_example
720,Patient with teeth grinding attended for treatment planning. Specialist referral considered. mouth rinse prescribed.,consultation_form,teeth grinding,treatment planning,mouth rinse,18,synthetic_dental_form_example
721,Extraction consent obtained for tooth 18. Diagnosis: fractured tooth. Medication: chlorhexidine rinse.,extraction_form,fractured tooth,wisdom tooth removal,chlorhexidine rinse,18,synthetic_dental_form_example
722,Patient presents with worsening toothache. diagnostic assessment carried out; acetaminophen prescribed.,consultation_form,toothache,diagnostic assessment,acetaminophen,6,synthetic_dental_form_example
723,Consultation for bad breath. treatment planning completed; ibuprofen advised.,consultation_form,bad breath,treatment planning,ibuprofen,24,synthetic_dental_form_example
724,Emergency wisdom tooth removal for tooth 21 due to advanced infection. acetaminophen prescribed for infection control.,extraction_form,advanced infection,wisdom tooth removal,acetaminophen,21,synthetic_dental_form_example
725,Take-home laser whitening kit provided for coffee staining. hydrogen peroxide gel prescribed if sensitivity arises.,whitening_form,coffee staining,laser whitening,hydrogen peroxide gel,29,synthetic_dental_form_example
726,Laser take-home whitening kit for yellowing enamel. Immediate improvement noted; desensitizing gel dispensed.,whitening_form,yellowing enamel,take-home whitening kit,desensitizing gel,26,synthetic_dental_form_example
727,Space maintainer placed for misaligned teeth. bracket placement will begin once permanent teeth erupt; orthodontic wax given.,orthodontic_form,misaligned teeth,bracket placement,orthodontic wax,16,synthetic_dental_form_example
728,Orthodontic records taken. Diagnosis: misaligned teeth. wire adjustment to begin next appointment. acetaminophen given.,orthodontic_form,misaligned teeth,wire adjustment,acetaminophen,18,synthetic_dental_form_example
729,Emergency presentation: lost filling on tooth 28. Urgent tooth splinting carried out; clindamycin prescribed.,emergency_form,lost filling,tooth splinting,clindamycin,28,synthetic_dental_form_example
730,Full mouth oral hygiene instruction completed for gum inflammation. Patient given antiseptic gel as adjunct therapy.,cleaning_form,gum inflammation,oral hygiene instruction,antiseptic gel,11,synthetic_dental_form_example
731,Periodontal assessment reveals advanced gum disease. scaling and root planing initiated; minocycline prescribed.,periodontal_form,advanced gum disease,scaling and root planing,minocycline,13,synthetic_dental_form_example
732,Surgical socket irrigation completed for tooth 26 with severe bone loss. Patient tolerated well; ibuprofen given.,extraction_form,severe bone loss,socket irrigation,ibuprofen,26,synthetic_dental_form_example
733,Probing depths confirm aggressive periodontitis. bone grafting recommended; clindamycin commenced.,periodontal_form,aggressive periodontitis,bone grafting,clindamycin,9,synthetic_dental_form_example
734,Broken temporary crown on tooth 10. fractured tooth requiring crown present. porcelain crown placement repeated; ibuprofen advised.,crown_bridge_form,fractured tooth requiring crown,porcelain crown placement,ibuprofen,10,synthetic_dental_form_example
735,Three-unit bridge for tooth 13 region. large existing filling on abutment teeth. permanent crown cementation initiated; lidocaine dispensed.,crown_bridge_form,large existing filling,permanent crown cementation,lidocaine,13,synthetic_dental_form_example
736,Initial consultation for oral sensitivity. Dentist performed diagnostic assessment; lidocaine recommended short-term.,consultation_form,oral sensitivity,diagnostic assessment,lidocaine,32,synthetic_dental_form_example
737,Periodontal assessment found moderate periodontitis. deep cleaning and mouth rinse plan initiated.,cleaning_form,moderate periodontitis,deep cleaning,mouth rinse,25,synthetic_dental_form_example
738,Orthodontic consultation for crossbite. braces fitting planned; orthodontic wax dispensed.,orthodontic_form,crossbite,braces fitting,orthodontic wax,11,synthetic_dental_form_example
739,Tooth 13 tested non-vital with periapical abscess. root canal treatment initiated; metronidazole prescribed.,root_canal_form,periapical abscess,root canal treatment,metronidazole,13,synthetic_dental_form_example
740,Patient reports gum bleeding. Exam shows bleeding gums; dentist advised air polishing and chlorhexidine rinse.,cleaning_form,bleeding gums,air polishing,chlorhexidine rinse,5,synthetic_dental_form_example
741,Space maintainer placed for overbite. bracket placement will begin once permanent teeth erupt; ibuprofen given.,orthodontic_form,overbite,bracket placement,ibuprofen,20,synthetic_dental_form_example
742,Patient with clicking jaw attended for x ray review. Specialist referral considered. lidocaine prescribed.,consultation_form,clicking jaw,x ray review,lidocaine,20,synthetic_dental_form_example
743,Tooth 4 presented with chipped tooth. temporary filling completed successfully; fluoride prescribed.,filling_form,chipped tooth,temporary filling,fluoride,4,synthetic_dental_form_example
744,Post root canal full coverage crown for tooth 10. broken cusp noted. fluoride prescribed.,crown_bridge_form,broken cusp,full coverage crown,fluoride,10,synthetic_dental_form_example
745,Patient presenting with tartar accumulation and sensitivity. oral hygiene instruction completed; chlorhexidine rinse prescribed.,cleaning_form,tartar accumulation,oral hygiene instruction,chlorhexidine rinse,3,synthetic_dental_form_example
746,Patient presenting with gum inflammation and sensitivity. periodontal cleaning completed; fluoride prescribed.,cleaning_form,gum inflammation,periodontal cleaning,fluoride,20,synthetic_dental_form_example
747,Referral for underbite. wire adjustment recommended by specialist; ibuprofen dispensed.,orthodontic_form,underbite,wire adjustment,ibuprofen,11,synthetic_dental_form_example
748,Acute soft tissue laceration on tooth 28. Emergency emergency root canal undertaken; lidocaine prescribed.,emergency_form,soft tissue laceration,emergency root canal,lidocaine,28,synthetic_dental_form_example
749,Oral surgery on tooth 18 for fractured tooth. Procedure: socket irrigation. Post-op metronidazole dispensed.,extraction_form,fractured tooth,socket irrigation,metronidazole,18,synthetic_dental_form_example
750,Radiograph confirmed sensitivity from decay on tooth 18. amalgam filling completed under local anaesthesia with acetaminophen.,filling_form,sensitivity from decay,amalgam filling,acetaminophen,18,synthetic_dental_form_example
751,Patient phoned reporting soft tissue laceration. Seen within the hour. abscess drainage performed; amoxicillin dispensed.,emergency_form,soft tissue laceration,abscess drainage,amoxicillin,3,synthetic_dental_form_example
752,Out-of-hours for lost filling. Patient seen same day. pain management completed; naproxen given.,emergency_form,lost filling,pain management,naproxen,5,synthetic_dental_form_example
753,Secondary worn enamel on tooth 32 treated with cavity preparation. ibuprofen advised.,filling_form,worn enamel,cavity preparation,ibuprofen,32,synthetic_dental_form_example
754,Emergency presentation: soft tissue laceration on tooth 20. Urgent pain management carried out; ibuprofen prescribed.,emergency_form,soft tissue laceration,pain management,ibuprofen,20,synthetic_dental_form_example
755,Emergency wire adjustment for impacted canine. wire adjustment ongoing; orthodontic wax recommended for pain.,orthodontic_form,impacted canine,wire adjustment,orthodontic wax,11,synthetic_dental_form_example
756,Periapical radiograph shows cracked tooth with pulp involvement on tooth 9. canal cleaning scheduled; acetaminophen prescribed.,root_canal_form,cracked tooth with pulp involvement,canal cleaning,acetaminophen,9,synthetic_dental_form_example
757,Probing depths confirm gingival recession. pocket reduction surgery recommended; ibuprofen commenced.,periodontal_form,gingival recession,pocket reduction surgery,ibuprofen,12,synthetic_dental_form_example
758,New patient assessment. impacted canine identified. space maintainer placement recommended; ibuprofen provided.,orthodontic_form,impacted canine,space maintainer placement,ibuprofen,5,synthetic_dental_form_example
759,Patient presents with deep periodontal pockets. Full mouth periodontal surgery planned; amoxicillin prescribed.,periodontal_form,deep periodontal pockets,periodontal surgery,amoxicillin,26,synthetic_dental_form_example
760,Root canal assessment for tooth 14: cracked tooth with pulp involvement confirmed. post and core placement scheduled; amoxicillin prescribed.,root_canal_form,cracked tooth with pulp involvement,post and core placement,amoxicillin,14,synthetic_dental_form_example
761,Patient attended for bite assessment. Main concern: oral sensitivity. acetaminophen suggested.,consultation_form,oral sensitivity,bite assessment,acetaminophen,17,synthetic_dental_form_example
762,Tooth 2 requires temporary crown placement due to severely decayed tooth. Impression taken; ibuprofen prescribed.,crown_bridge_form,severely decayed tooth,temporary crown placement,ibuprofen,2,synthetic_dental_form_example
763,Orthodontic records taken. Diagnosis: malocclusion. aligner fitting to begin next appointment. ibuprofen given.,orthodontic_form,malocclusion,aligner fitting,ibuprofen,26,synthetic_dental_form_example
764,Referral for deep periodontal pockets. scaling and root planing to be conducted under specialist care; clindamycin initiated.,periodontal_form,deep periodontal pockets,scaling and root planing,clindamycin,7,synthetic_dental_form_example
765,Laser take-home whitening kit for extrinsic staining. Immediate improvement noted; desensitizing gel dispensed.,whitening_form,extrinsic staining,take-home whitening kit,desensitizing gel,22,synthetic_dental_form_example
766,Extraction consent obtained for tooth 21. Diagnosis: failed root canal. Medication: chlorhexidine rinse.,extraction_form,failed root canal,socket irrigation,chlorhexidine rinse,21,synthetic_dental_form_example
767,Surgical periodontal surgery planned for unresolved chronic periodontitis. minocycline adjusted pre-operatively.,periodontal_form,chronic periodontitis,periodontal surgery,minocycline,32,synthetic_dental_form_example
768,Patient enquires about teeth whitening for stained teeth. Expectations discussed; desensitizing gel prescribed.,whitening_form,stained teeth,teeth whitening,desensitizing gel,9,synthetic_dental_form_example
769,Dental caries on tooth 23 treated with bonding restoration. acetaminophen given for comfort.,filling_form,sensitivity from decay,bonding restoration,acetaminophen,23,synthetic_dental_form_example
770,Post-operative review for wisdom tooth removal of tooth 10. Original diagnosis: severe bone loss. acetaminophen continued.,extraction_form,severe bone loss,wisdom tooth removal,acetaminophen,10,synthetic_dental_form_example
771,Dental caries on tooth 25 treated with bonding restoration. fluoride given for comfort.,filling_form,cavity,bonding restoration,fluoride,25,synthetic_dental_form_example
772,Radiograph confirms advanced infection affecting tooth 16. tooth extraction performed and ibuprofen advised post-operatively.,extraction_form,advanced infection,tooth extraction,ibuprofen,16,synthetic_dental_form_example
773,Surgical surgical extraction completed for tooth 10 with dental abscess. Patient tolerated well; metronidazole given.,extraction_form,dental abscess,surgical extraction,metronidazole,10,synthetic_dental_form_example
774,Patient presents with worsening gum pain. oral examination carried out; mouth rinse prescribed.,consultation_form,gum pain,oral examination,mouth rinse,3,synthetic_dental_form_example
775,Endodontic consultation for tooth 12. Findings: deep cavity. post and core placement planned; lidocaine given.,root_canal_form,deep cavity,post and core placement,lidocaine,12,synthetic_dental_form_example
776,Radiograph confirmed chipped tooth on tooth 23. cavity preparation completed under local anaesthesia with desensitizing gel.,filling_form,chipped tooth,cavity preparation,desensitizing gel,23,synthetic_dental_form_example
777,Patient with yellowing enamel wishes aesthetic improvement. take-home whitening kit recommended; desensitizing gel provided.,whitening_form,yellowing enamel,take-home whitening kit,desensitizing gel,26,synthetic_dental_form_example
778,Tooth 21 presented with worn enamel. bonding restoration completed successfully; ibuprofen prescribed.,filling_form,worn enamel,bonding restoration,ibuprofen,21,synthetic_dental_form_example
779,Tooth 21 diagnosed with infected root canal. canal cleaning recommended and lidocaine prescribed.,root_canal_form,infected root canal,canal cleaning,lidocaine,21,synthetic_dental_form_example
780,Patient returned for tooth restoration of tooth 30 following chipped tooth. desensitizing gel provided.,filling_form,chipped tooth,tooth restoration,desensitizing gel,30,synthetic_dental_form_example
781,Permanent porcelain crown placement delivered for tooth 8. severely decayed tooth previously managed; acetaminophen not required beyond today.,crown_bridge_form,severely decayed tooth,porcelain crown placement,acetaminophen,8,synthetic_dental_form_example
782,Emergency tooth extraction for tooth 17 due to severe decay. naproxen prescribed for infection control.,extraction_form,severe decay,tooth extraction,naproxen,17,synthetic_dental_form_example
783,Tooth 22 presented with secondary caries. composite filling completed successfully; lidocaine prescribed.,filling_form,secondary caries,composite filling,lidocaine,22,synthetic_dental_form_example
784,Occlusal fractured cusp on tooth 16 managed with tooth-colored restoration. ibuprofen recommended.,filling_form,fractured cusp,tooth-colored restoration,ibuprofen,16,synthetic_dental_form_example
785,Periodontal charting shows gingival recession with multiple deep pockets. periodontal therapy planned in quadrants; clindamycin prescribed.,periodontal_form,gingival recession,periodontal therapy,clindamycin,11,synthetic_dental_form_example
786,Routine hygiene visit. calculus deposits noted. deep cleaning completed; chlorhexidine rinse recommended daily.,cleaning_form,calculus deposits,deep cleaning,chlorhexidine rinse,32,synthetic_dental_form_example
787,Dental caries on tooth 13 treated with composite filling. desensitizing gel given for comfort.,filling_form,proximal caries,composite filling,desensitizing gel,13,synthetic_dental_form_example
788,Patient attended for x ray review. Main concern: bad breath. mouth rinse suggested.,consultation_form,bad breath,x ray review,mouth rinse,31,synthetic_dental_form_example
789,Orthodontic records taken. Diagnosis: underbite. retainer fitting to begin next appointment. orthodontic wax given.,orthodontic_form,underbite,retainer fitting,orthodontic wax,18,synthetic_dental_form_example
790,Tooth 29 tested non-vital with necrotic pulp. endodontic retreatment initiated; ibuprofen prescribed.,root_canal_form,necrotic pulp,endodontic retreatment,ibuprofen,29,synthetic_dental_form_example
791,New patient assessment. rotated teeth identified. bracket placement recommended; acetaminophen provided.,orthodontic_form,rotated teeth,bracket placement,acetaminophen,23,synthetic_dental_form_example
792,Aesthetic consultation for tobacco staining. whitening tray fitting recommended; fluoride advised.,whitening_form,tobacco staining,whitening tray fitting,fluoride,12,synthetic_dental_form_example
793,Emergency appointment for knocked out tooth on tooth 28. tooth splinting performed; amoxicillin given.,emergency_form,knocked out tooth,tooth splinting,amoxicillin,28,synthetic_dental_form_example
794,Patient reports gum bleeding. Exam shows calculus deposits; dentist advised dental cleaning and chlorhexidine rinse.,cleaning_form,calculus deposits,dental cleaning,chlorhexidine rinse,29,synthetic_dental_form_example
795,Child patient with cracked tooth emergency on tooth 12 following sports injury. emergency extraction completed; naproxen dispensed.,emergency_form,cracked tooth emergency,emergency extraction,naproxen,12,synthetic_dental_form_example
796,Advanced furcation involvement detected. periodontal surgery required; amoxicillin commenced.,periodontal_form,furcation involvement,periodontal surgery,amoxicillin,3,synthetic_dental_form_example
797,Dental hygiene visit revealed gingivitis. Full mouth scaling and polishing completed. mouth rinse prescribed.,cleaning_form,gingivitis,scaling and polishing,mouth rinse,24,synthetic_dental_form_example
798,Periodontal charting shows chronic periodontitis with multiple deep pockets. guided tissue regeneration planned in quadrants; doxycycline prescribed.,periodontal_form,chronic periodontitis,guided tissue regeneration,doxycycline,31,synthetic_dental_form_example
799,In-office laser whitening for tetracycline staining. Shade improved by four shades; desensitizing gel given.,whitening_form,tetracycline staining,laser whitening,desensitizing gel,31,synthetic_dental_form_example
800,Periodontal assessment reveals periodontal abscess. bone grafting initiated; metronidazole prescribed.,periodontal_form,periodontal abscess,bone grafting,metronidazole,5,synthetic_dental_form_example
801,Tooth 10 diagnosed with chronic apical periodontitis. pulp removal recommended and lidocaine prescribed.,root_canal_form,chronic apical periodontitis,pulp removal,lidocaine,10,synthetic_dental_form_example
802,Emergency visit for oral ulcers. oral cancer screening completed and mouth rinse given.,consultation_form,oral ulcers,oral cancer screening,mouth rinse,26,synthetic_dental_form_example
803,Patient reports gum bleeding. Exam shows bleeding gums; dentist advised subgingival scaling and mouth rinse.,cleaning_form,bleeding gums,subgingival scaling,mouth rinse,12,synthetic_dental_form_example
804,Patient presents with crowded teeth. orthodontic assessment recommended; orthodontic wax advised for discomfort.,orthodontic_form,crowded teeth,orthodontic assessment,orthodontic wax,29,synthetic_dental_form_example
805,Emergency bone grafting post extraction for tooth 11 due to impacted wisdom tooth. ibuprofen prescribed for infection control.,extraction_form,impacted wisdom tooth,bone grafting post extraction,ibuprofen,11,synthetic_dental_form_example
806,Patient with coffee staining wishes aesthetic improvement. enamel polishing recommended; fluoride provided.,whitening_form,coffee staining,enamel polishing,fluoride,4,synthetic_dental_form_example
807,Patient in significant pain due to soft tissue laceration. temporary restoration completed; lidocaine prescribed.,emergency_form,soft tissue laceration,temporary restoration,lidocaine,14,synthetic_dental_form_example
808,Six-month recall. halitosis detected. subgingival scaling carried out; desensitizing gel advised.,cleaning_form,halitosis,subgingival scaling,desensitizing gel,29,synthetic_dental_form_example
809,Patient in significant pain due to soft tissue laceration. abscess drainage completed; lidocaine prescribed.,emergency_form,soft tissue laceration,abscess drainage,lidocaine,15,synthetic_dental_form_example
810,Surgical simple extraction completed for tooth 15 with root fracture. Patient tolerated well; chlorhexidine rinse given.,extraction_form,root fracture,simple extraction,chlorhexidine rinse,15,synthetic_dental_form_example
811,Six-week review post guided tissue regeneration. furcation involvement improving; minocycline continued for four more weeks.,periodontal_form,furcation involvement,guided tissue regeneration,minocycline,2,synthetic_dental_form_example
812,Retainer fitting following retainer fitting. underbite successfully corrected. acetaminophen not required beyond today.,orthodontic_form,underbite,retainer fitting,acetaminophen,10,synthetic_dental_form_example
813,Surgical socket irrigation completed for tooth 15 with root fracture. Patient tolerated well; penicillin given.,extraction_form,root fracture,socket irrigation,penicillin,15,synthetic_dental_form_example
814,Walk-in emergency: broken tooth. Dentist performed abscess drainage urgently; amoxicillin dispensed.,emergency_form,broken tooth,abscess drainage,amoxicillin,7,synthetic_dental_form_example
815,Exam indicates tooth decay on tooth 9. cavity preparation completed; desensitizing gel prescribed.,filling_form,tooth decay,cavity preparation,desensitizing gel,9,synthetic_dental_form_example
816,Patient with oral ulcers attended for x ray review. Specialist referral considered. lidocaine prescribed.,consultation_form,oral ulcers,x ray review,lidocaine,12,synthetic_dental_form_example
817,Periodontal assessment found halitosis. scaling and polishing and fluoride plan initiated.,cleaning_form,halitosis,scaling and polishing,fluoride,19,synthetic_dental_form_example
818,Hygiene appointment completed. Findings: mild periodontitis. Procedure: dental cleaning. mouth rinse recommended.,cleaning_form,mild periodontitis,dental cleaning,mouth rinse,21,synthetic_dental_form_example
819,Space maintainer placed for rotated teeth. bracket placement will begin once permanent teeth erupt; ibuprofen given.,orthodontic_form,rotated teeth,bracket placement,ibuprofen,5,synthetic_dental_form_example
820,Patient presents with attachment loss. Full mouth scaling and root planing planned; amoxicillin prescribed.,periodontal_form,attachment loss,scaling and root planing,amoxicillin,1,synthetic_dental_form_example
821,Follow-up for ongoing toothache. x ray review reviewed; ibuprofen updated.,consultation_form,toothache,x ray review,ibuprofen,17,synthetic_dental_form_example
822,Bone grafting for increased tooth mobility. bone grafting consent obtained; amoxicillin prescribed pre-operatively.,periodontal_form,increased tooth mobility,bone grafting,amoxicillin,24,synthetic_dental_form_example
823,Tooth 4 tested non-vital with necrotic pulp. endodontic retreatment initiated; metronidazole prescribed.,root_canal_form,necrotic pulp,endodontic retreatment,metronidazole,4,synthetic_dental_form_example
824,Specialist referral for pulp removal of tooth 31 with pulp exposure. acetaminophen provided in interim.,root_canal_form,pulp exposure,pulp removal,acetaminophen,31,synthetic_dental_form_example
825,Tooth 21 diagnosed with irreversible pulpitis. post and core placement recommended and lidocaine prescribed.,root_canal_form,irreversible pulpitis,post and core placement,lidocaine,21,synthetic_dental_form_example
826,Tooth 6 diagnosed with necrotic pulp. pulp removal recommended and lidocaine prescribed.,root_canal_form,necrotic pulp,pulp removal,lidocaine,6,synthetic_dental_form_example
827,Two-week review post laser whitening. stained teeth lightened successfully; hydrogen peroxide gel recommended for maintenance.,whitening_form,stained teeth,laser whitening,hydrogen peroxide gel,25,synthetic_dental_form_example
828,Two-week review post take-home whitening kit. tooth discoloration lightened successfully; desensitizing gel recommended for maintenance.,whitening_form,tooth discoloration,take-home whitening kit,desensitizing gel,17,synthetic_dental_form_example
829,Dental caries on tooth 25 treated with cavity preparation. ibuprofen given for comfort.,filling_form,fractured cusp,cavity preparation,ibuprofen,25,synthetic_dental_form_example
830,Pre-treatment consultation completed. Patient experiencing jaw pain. lidocaine provided.,consultation_form,jaw pain,consultation,lidocaine,1,synthetic_dental_form_example
831,Dental trauma: acute toothache on tooth 29. emergency consultation carried out; acetaminophen prescribed.,emergency_form,acute toothache,emergency consultation,acetaminophen,29,synthetic_dental_form_example
832,Dentist completed bone grafting post extraction on tooth 8. Underlying cause: irreversible pulpitis. chlorhexidine rinse dispensed.,extraction_form,irreversible pulpitis,bone grafting post extraction,chlorhexidine rinse,8,synthetic_dental_form_example
833,Space maintainer placed for rotated teeth. wire adjustment will begin once permanent teeth erupt; ibuprofen given.,orthodontic_form,rotated teeth,wire adjustment,ibuprofen,23,synthetic_dental_form_example
834,Emergency appointment for dental abscess on tooth 1. temporary restoration performed; clindamycin given.,emergency_form,dental abscess,temporary restoration,clindamycin,1,synthetic_dental_form_example
835,Dental trauma: soft tissue laceration on tooth 24. abscess drainage carried out; naproxen prescribed.,emergency_form,soft tissue laceration,abscess drainage,naproxen,24,synthetic_dental_form_example
836,Severe pain from tooth 13. Diagnosis: irreversible pulpitis. Emergency canal shaping commenced; ibuprofen prescribed.,root_canal_form,irreversible pulpitis,canal shaping,ibuprofen,13,synthetic_dental_form_example
837,Patient referred regarding toothache. Full oral cancer screening performed; lidocaine advised.,consultation_form,toothache,oral cancer screening,lidocaine,27,synthetic_dental_form_example
838,Exam indicates secondary caries on tooth 25. amalgam filling completed; lidocaine prescribed.,filling_form,secondary caries,amalgam filling,lidocaine,25,synthetic_dental_form_example
839,Bridge fitting for missing tooth region near 9. Adjacent teeth prepared; acetaminophen advised.,crown_bridge_form,tooth discoloration,temporary crown placement,acetaminophen,9,synthetic_dental_form_example
840,Patient phoned reporting lost filling. Seen within the hour. abscess drainage performed; ibuprofen dispensed.,emergency_form,lost filling,abscess drainage,ibuprofen,16,synthetic_dental_form_example
841,Endodontic therapy for tooth 23 due to chronic apical periodontitis. post and core placement completed under rubber dam. acetaminophen advised.,root_canal_form,chronic apical periodontitis,post and core placement,acetaminophen,23,synthetic_dental_form_example
842,Temporary crown on tooth 9 for fractured tooth requiring crown. Permanent porcelain crown placement due in two weeks. fluoride given.,crown_bridge_form,fractured tooth requiring crown,porcelain crown placement,fluoride,9,synthetic_dental_form_example
843,Full mouth periodontal cleaning completed for moderate periodontitis. Patient given mouth rinse as adjunct therapy.,cleaning_form,moderate periodontitis,periodontal cleaning,mouth rinse,24,synthetic_dental_form_example
844,Periapical radiograph shows deep cavity on tooth 6. canal cleaning scheduled; naproxen prescribed.,root_canal_form,deep cavity,canal cleaning,naproxen,6,synthetic_dental_form_example
845,Midway review. crossbite improving with aligner fitting. Wire change scheduled; orthodontic wax advised.,orthodontic_form,crossbite,aligner fitting,orthodontic wax,31,synthetic_dental_form_example
846,Patient attended for composite filling on tooth 9. Diagnosis: tooth decay. acetaminophen prescribed.,filling_form,tooth decay,composite filling,acetaminophen,9,synthetic_dental_form_example
847,Patient referred from A&E with soft tissue laceration on tooth 23. emergency extraction performed; amoxicillin prescribed.,emergency_form,soft tissue laceration,emergency extraction,amoxicillin,23,synthetic_dental_form_example
